2025-08-22 07:54:54 | HIGH RESOURCE ALERT | Memory: 1260.40625 MB | CPU: 78.375
2025-08-22 07:55:24 | HIGH RESOURCE ALERT | Memory: 1260.5390625 MB | CPU: 89.8125
2025-08-22 07:55:54 | HIGH RESOURCE ALERT | Memory: 1261.2265625 MB | CPU: 106.53125
2025-08-22 07:56:24 | HIGH RESOURCE ALERT | Memory: 1260.46875 MB | CPU: 107.484375
2025-08-22 07:56:54 | HIGH RESOURCE ALERT | Memory: 1259.9453125 MB | CPU: 107.765625
2025-08-22 07:57:24 | HIGH RESOURCE ALERT | Memory: 1259.9609375 MB | CPU: 108.421875
2025-08-22 07:57:54 | HIGH RESOURCE ALERT | Memory: 1259.54296875 MB | CPU: 109.078125
2025-08-22 07:58:24 | HIGH RESOURCE ALERT | Memory: 1259.23828125 MB | CPU: 109.703125
2025-08-22 07:58:54 | HIGH RESOURCE ALERT | Memory: 1259.2578125 MB | CPU: 110.21875
2025-08-22 07:59:24 | HIGH RESOURCE ALERT | Memory: 1259.09765625 MB | CPU: 111.296875
2025-08-22 07:59:54 | HIGH RESOURCE ALERT | Memory: 1258.98046875 MB | CPU: 111.78125
2025-08-22 08:00:24 | HIGH RESOURCE ALERT | Memory: 1258.91796875 MB | CPU: 112.1875
2025-08-22 08:00:54 | HIGH RESOURCE ALERT | Memory: 1258.8359375 MB | CPU: 112.953125
2025-08-22 08:01:24 | HIGH RESOURCE ALERT | Memory: 1258.8203125 MB | CPU: 113.453125
2025-08-22 08:01:54 | HIGH RESOURCE ALERT | Memory: 1258.78515625 MB | CPU: 114.4375
2025-08-22 08:02:24 | HIGH RESOURCE ALERT | Memory: 1258.734375 MB | CPU: 114.828125
2025-08-22 08:02:54 | HIGH RESOURCE ALERT | Memory: 1258.7734375 MB | CPU: 115.53125
2025-08-22 08:03:24 | HIGH RESOURCE ALERT | Memory: 1258.76953125 MB | CPU: 116.09375
2025-08-22 08:03:54 | HIGH RESOURCE ALERT | Memory: 1257.13671875 MB | CPU: 117.0625
2025-08-22 08:04:24 | HIGH RESOURCE ALERT | Memory: 1256.0546875 MB | CPU: 117.4375
2025-08-22 08:04:54 | HIGH RESOURCE ALERT | Memory: 1256.06640625 MB | CPU: 118.40625
2025-08-22 08:05:24 | HIGH RESOURCE ALERT | Memory: 1255.34765625 MB | CPU: 119.171875
